ID;Nom;Image;Film 1;Film 2
1;Al Pacino;al-pacino.jpg;Scarface;Le Parrain
2;Benedict Cumberbatch;benedict_cumberbatch.jpg;Docteur Strange;12 Years a Slave
3;Brad Pitt;brad_Pitt.jpg;Inglourious Basterds;Fight Club
4;Bryan Cranston;bryan_cranston.jpg;Drive;Breaking Bad
5;Christian Bale;christian-bale.jpg;The Dark Knight, Le Chevalier Noir;Le Mans 66
6;Cillian Murphy;cillian-murphy.jpeg;Time out;Inception
7;Daniel Radcliffe;daniel-radcliffe.jpg;Harry Potter;Swiss Army Man
8;Dwayne Johnson;dwayne_Johnson.jpg;Jumanji : Bienvenue dans la jungle;San Andreas
9;Dylan O Brien;dylan-obrien.jpg;Le Labyrinthe;Teen Wolf
10;Harrison Ford;harisson_ford.jpg;Indiana Jones;Star Wars
11;Heath Ledger;heath_ledger.jpg;Candy;Le Secret de Brokeback Mountain
12;Jack Nicholson;jack_Nicholson.jpg;Shining;Vol au dessus d un nid de coucou
13;Jackie Chan;jackie-chan.jpg;Combats de maitre;Rush Hour
14;Jake Gyllenhaal;jake_gyllenhaal.jpg;Spider-Man: Far From Home;Prisoners
15;James MCavoy;james_McAvoy.jpg;X-Men;Split
16;Jason Statham;jason-Statham.jpg;Expendables;Fast & Furious 7
17;Jim Carrey;jim-Carrey.jpg;Ace Ventura : detective chien et chat;The Truman Show
18;Joaquin Phoenix;joaquin-phoenix.png;Joker;Gladiator
19;Johnny Depp;johnny-depp.jpg;Pirates des Caraibes;Charlie et la Chocolaterie
20;Keanu Reeves;keanu_reeves.jpg;Matrix;John Wick
21;Leonardo DiCaprio;leonardo_dicaprio.png;The Revenant;Titanic
22;Louis de Funes;louis_defunes.jpg;La Grande Vadrouille;Les aventures de Rabbi Jacob
23;Matthew McConauguey;matthew_mcconaughey.jpg;Interstellar;Le loup de Wall Street
24;Morgan Freeman;morgan-freeman.jpg;La chute de la maison blanche;Million Dollar Baby
25;Robert De Niro;robert_De_Niro.jpg;Le Parrain;Les Affranchis
26;Robert Downey JR;robert_downeyjr.png;Iron Man;Sherlock Holmes
27;Robin Williams;robin_Williams.jpg;Jumanji;Madame Doubtfire
28;Samuel L Jackson;samuelljackson.jpg;Avengers;Pulp Fiction
29;Tom Hanks;tom-hanks.jpg;Forrest Gump;Seul au monde
30;Tom Hardy;tom-hardy.jpg;Venom;Peaky Blinders
31;Tom Holland;tom_Holland.jpg;Spider Man;The Impossible
32;Will Smith;will_smith.jpg;Men In Black;Je suis une legende
