ID;Nom;Image;Description;Acteur
1;Ant Man;antman.png;Costume permettant de changer sa taille et communiquer aux fourmis;Paul Rudd
2;Black Panther;black_panther.png;Roi du Wakanda, sens, force et agilité accrues;Chadwick Boseman
3;Black Widow;black_widow.png;Combattante au corps à corps;Scarlett Johansson
4;Captain America;captain_america.png;Condition physique amélioré;Chris Evans
5;Captain Marvel;marvel.png;Force, vitesse, agilité, durabilité surhumaine, vol, absorbe et projette de l'énergie;Brie Larson
6;Docteur Strange;strange.jpg;Magicien des sciences occultes;Benedict Cumberbatch
7;Faucon;faucon.png;Lien télépathique avec son oiseau;Anthony Mackie
8;Gardiens de la Galaxie;gardiens_galaxie.png;Equipe de supers héros;Star-Lord, Gamora, Groot, Rocket, Drax, Nébula
9;HawKeye;archer.png;Maitre archer et tireur d’élite;Jeremy Renner
10;Hulk;hulk.jpg;Génie;Mark Ruffalo
11;Iron Man;ironman.png;Inventeur de génie;Robert Downey JR
12;Le Soldat de l’Hiver;soldat_hiver.jpg;Bras gauche cybernétique;Sebastian Stan
13;Sorcière Rouge;sorciere_rouge.jpg;Capacités magiques scientifiquement améliorées;Elizabeth Olsen
14;Spider Man;spiderman.png;Doté des pouvoirs d’araignées.;Tom Holland
15;Thor;thor.png;Dieu du tonerre;Chris Hemsworth
16;Vision;vision.jpg;Android, mélange de JARVIS (IA de Stark) et de la Pierre de l’Esprit;Paul Bettany
