ID;Nom;Image;Acteur 1;Acteur 2;Année;Synopsis
1;ALIEN;alien.jpg;Sigourney Weaver;John Hurt;1979;Durant le voyage de retour d'un immense cargo spatial en mission commerciale de routine, ses passagers, cinq hommes et deux femmes plongés en hibernation, sont tirés de leur léthargie dix mois plus tôt que prévu par Mother, l'ordinateur de bord. Ce dernier a en effet capté dans le silence interplanétaire des signaux sonores, et suivant une certaine clause du contrat de navigation, les astronautes sont chargés de prospecter tout indice de vie dans l'espace.
2;ANNABELLE;annabelle.jpg;Annabelle Wallis;Ward Horton;2014;Été 1969, John et Mia, qui attendent leur premier enfant, viennent d'emménager dans une maison à Santa Monica. John, qui ne sait comment choyer son épouse, lui a offert une poupée ancienne. La nuit suivante, ils sont sauvagement attaqués par un couple lié à une secte satanique. La police leur porte secours rapidement, abattant l'homme tandis que sa compagne se tranche la gorge, laissant couler quelques gouttes de sang dans l'oeil de la poupée.
3;ÇA 2017;ca.jpg;Bill Skarsgard;Finn Wolfhard;2017;À Derry, dans le Maine, sept gamins ayant du mal à s'intégrer se sont regroupés au sein du Club des Ratés. Rejetés par leurs camarades, ils sont les cibles favorites des gros durs de l'école. Ils ont aussi en commun d'avoir éprouvé leur plus grande terreur face à un terrible prédateur métamorphe qu'ils appellent Ça.
4;CHUCKY 1988;chucky.jpg;Brad Dourif;Catherine Hicks;1988;Confronté à une série de meurtres, le petit Andy, six ans, est persuadé que sa poupée Chucky est coupable, mais personne ne veut l'écouter.
5;CONJURING;conjuring1.jpeg;Vera Farmiga;Patrick Wilson;2013;L'histoire horrible, mais vraie, d'Ed et Lorraine Warren, enquêteurs paranormaux réputés dans le monde entier, venus en aide à une famille terrorisée par une présence inquiétante dans leur ferme isolée. Contraints d'affronter une créature démoniaque d'une force redoutable, les Warren se retrouvent face à l'affaire la plus terrifiante de leur carrière.
6;CONJURING 2;conjuring2.jpeg;Vera Farmiga;Patrick Wilson;2016;En 1976, Lorraine et Ed Warren, spécialisés dans les forces occultes, enquêtent sur les meurtres d'Amityville, pour déterminer si ce père de famille qui a massacré les siens était possédé. Suite à la vision terrorisante d'une nonne diabolique et de la mort de son époux, Lorraine décide d'arrêter d'utiliser ses dons pour les protéger. Un an plus tard, le couple accepte cependant de venir en aide à une famille à Londres, attaquée par un démon qui a pris possession d'une enfant.
7;HALLOWEEN 1978;halloween.jpg;Jamie Lee Curtis;John Carpenter;1978;La nuit d'Halloween 1963. Le jeune Michael Myers se précipite dans la chambre de sa soeur aînée et la poignarde sauvagement. Après son geste, Michael se mure dans le silence et est interné dans un asile psychiatrique. Quinze ans plus tard, il s'échappe de l'hôpital et retourne sur les lieux de son crime. Il s'en prend alors aux adolescents de la ville.
8;INSIDIOUS;insidious.jpg;Lin Shaye;Leigh Whannell;2010;Josh, son épouse et leurs trois enfants vivent depuis peu dans leur nouvelle maison lorsque leur fils aîné tombe dans un coma inexpliqué. Pensant que leur maison est hantée, ils réalisent que tout est lié à leur fils quand un médium leur révèle que l'âme de ce dernier se trouve dans la dimension astrale, et que des forces maléfiques veulent s'emparer de son enveloppe corporelle. Ils vont alors tenter de combattre le mal qui rôde autour d'eux.
9;L?EXORCISTE 1973;l-exorciste.jpg;Linda Blair;Ellen Burstyn;1973;Regan, âgée de 12 ans, souffre d'inquiétants troubles du comportement. Après de nombreux examens médicaux, sa mère Chris MacNeil sollicite l'aide d'un jeune prête psychiatre, le Père Karras qui lui apprend que la jeune fille est possédée par le diable. Avec l'aide de son confrère le père Merrin, il va se lancer dans des séances d'exorcisme d'une incroyable intensité...
10;LE PROJET BLAIR WITCH;le-projet-blair-witch.jpg;Heather Donahue;Joshua Leonard;1999;Le 21 octobre 1994, 3 étudiants de cinéma vont dans la forêt de Black Hills, dans le Maryland, pour faire un documentaire sur une légende locale : la sorcière de Blair. Un an plus tard, leur bande vidéo est retrouvée. Eux sont toujours portés disparus.
11;REC;rec.jpg;Manuela Velasco;Ferran Terraza;2008;Une jeune journaliste et un collègue suivent des pompiers pour une intervention dans un appartement. Prise à son propre piège, la journaliste est enfermée avec le scoop qu'elle désirait ardemment. Elle embarque le spectateur dans un huis clos terrifiant quand un nouveau virus transforme les infectés en dangereux zombies.
