ID;Nom;Image;Ennemi
1;AGENT SMITH;agent-smith.jpg;Neo
2;BELLATRIX LESTRANGE;bellatrix-lestrange.png;Harry Potter
3;ÇA;ca.jpg;7 enfants
4;CERSEI;cersei.jpg;Les non Lannister
5;DARK VADOR;dark-vador.jpeg;Les Jedis
6;DAVY JONES;davy-jones.jpg;Jack Sparrow
7;DIO;dio.jpg;Jonathan Joestar
8;DOFLAMINGO;doflamingo.png;Luffy
9;FREEZER;freezer.png;Sangoku
10;GOLLUM;gollum.jpg;Frodon
11;GUS FRING;gus-fring.jpg;Walter White
12;HANNIBAL LECTER;hannibal-lecter.jpeg;Maison Verger
13;HANS LANDA;hans-landa.jpg;Aldo Raine
14;HISOKA;hisoka.jpg;Gon
15;JAFAR;jafar.jpg;Aladdin
16;JIGSAW;jigsaw.jpg;Allison Kerry
17;LA TEAM ROCKET;la-team-rocket.jpg;Sacha
18;LE JOKER;le-joker.png;Batman
19;LIGHT YAGAMI;light_yagami.jpg;L
20;MADARA;madara.jpg;Naruto
21;MAGNÉTO;magneto.jpg;Le monde
22;MALÉFIOUE;malefique.jpg;Roi Stéphane
23;MERUEM;meruem.jpg;Hunter
24;NEGAN;negan.png;Rick Grimes
25;PAIN;pain.png;Naruto
26;PALPATINE;palpatine.jpg;Les Jedis
27;RAMSAY BOLTON;ramsay-bolton.jpg;Les Starks
28;SAURON;sauron.jpg;Tous
29;SCAR;scar.png;Mufasa
30;T-BAG;t-bag.png;Michael Scofield
31;THANOS;thanos.jpg;Avengers
32;VOLDEMORT;voldemort.jpg;Harry Potter
