ID;Nom;Image;Année de début;Année de fin
1;13 Reasons Why;13-reasons-why.jpg;2017;2020
2;American Horror Story;american-horror-story.jpg;2011;En cours
3;Black Mirror;black-mirror.jpg;2011;2019
4;Breaking Bad;breaking-bad.jpg;2008;2013
5;Brooklyn 99;brooklyn-99.png;2013;En cours
6;Dexter;dexter.jpg;2006;2013
7;Doctor Who;doctor-who.jpg;2005;En cours
8;Flash;flash.jpg;2014;En cours
9;Friends;friends.jpg;1994;2004
10;Games of Thrones;game-of-thrones.jpg;2011;2019
11;Greys Anatomy;greys-anatomy.png;2005;En cours
12;How I Met your Mother;how-i-met-your-mother.jpg;2005;2014
13;Kaamelott;kaamelott.png;2005;2009
14;La Casa de Papel;la-casa-de-papel.jpg;2017;En cours
15;LOST;lost.jpg;2004;2010
16;Malcolm;malcolm.jpg;2000;2006
17;MR Robot;mr-robot.jpg;2015;2019
18;Narcos;narcos.jpg;2015;2017
19;Orange is the new Black;orange-is-the-new-black.jpg;2013;2019
20;Peaky Blinders;peaky-blinders.jpg;2013;En cours
21;Prison Break;prison-break.jpg;2005;En cours
22;Riverdale;riverdal.jpg;2017;En cours
23;Sense8;sense-8.jpg;2015;2018
24;Sherlock;sherlock.jpg;2010;2017
25;Stranger Things;stranger-things.jpg;2016;En cours
26;SuperNatural;supernatural.jpg;2005;En cours
27;Teen Wolf;teen-wolf.jpg;2011;2017
28;The 100;the-100.jpg;2014;En cours
29;The Big Bang Theory;the-big-bang-theory.jpg;2007;2019
30;The Walking Dead;the-walking-dead.jpg;2010;En cours
31;Vikings;vikings.jpg;2013;En cours
32;WestWorld;westworld.jpg;2016;En cours
