ID;Nom;Image;Année de début;Année de fin
1;Adventure Time;adventure_time.png;2010;2018
2;American Dad!;american-dad.jpg;2005;En cours
3;Avatar le dernier maître de l’air;avatar-le-dernier-maitre-de-l-air.jpg;2005;2008
4;Batman;batman.jpg;1992;1995
5;Ben 10;ben-10.jpg;2005;2008
6;Big Mouth;big-mouth.jpg;2017;En cours
7;Bob l’Eponge;bob-leponge.png;1999;En cours
8;Bojack Horseman;bojack-horseman.jpg;2014;2020
9;Code Lyoko;code-lyoko.jpg;2003;2007
10;Corneil et Bernie;corneil-et-bernie.jpg;2003;2016
11;Foot 2 Rue;foot-2-rue.jpg;2005;2010
12;Futurama;futurama.png;1999;2013
13;Galactik Football;galactik-football.jpg;2006;2011
14;Garfield et Cie;garfield-cie.jpg;2008;2015
15;Le monde incroyable de Gumball;le-monde-incroyable-de-gumball.jpg;2011;En cours
16;Les mystérieuses cités d’or;les-mysterieuses-cites-dor.jpg;1982;1983
17;Les Simpson;les-simpson.jpg;1989;En cours
18;Les zinzins de l’espace;les-zinzins-de-lespace.jpg;1997;2006
19;Martin Mystère;martin-mystere.jpg;2003;2006
20;Oggy et les cafards;oggy-et-les-cafards.jpg;1998;En cours
21;Phinéas et Ferb;phineas-et-ferb.jpg;2007;2015
22;Ratz;ratz.jpg;2003;2006
23;Rick et Morty;rick-et-morty.jpg;2013;En cours
24;Scooby-Doo;scooby-doo.jpg;1969;1970
25;South Park;south-park.jpg;1997;En cours
26;Souvenirs de Gravity Falls;souvenirs-de-gravity-falls.jpg;2012;2016
27;Steven Universe;steven-universe.jpg;2013;2019
28;Titeuf;titeuf.gif;2001;En cours
29;Tom et Jerry;tom-et-jerry.jpg;1940;En cours
30;Totally Spies!;totally-spies.jpg;2001;2013
31;Wakfu;wakfu.png;2008;En cours
32;Winx Club;winx-club.jpg;2004;En cours
